Cluster:1
Backbone_gene_id	Gene_id	Gene_positions	Chromosome-Contig	Gene_order	5'end	3'end	Gene_distance	Domain_score	Annotated_gene_function
EPS35514.1	EPS42494.1	-12	AQGS01000113	701	6974	10637	51	1	
EPS35514.1	EPS37326.1	-11	AQGS01000667	700	6923	8065	18	0	
EPS35514.1	EPS39699.1	-10	AQGS01000457	699	6905	8983	1	0	
EPS35514.1	EPS41433.1	-9	AQGS01000240	698	6904	8774	5	0	
EPS35514.1	EPS35210.1	-8	AQGS01001233	697	6899	7858	4	0	
EPS35514.1	EPS37767.1	-7	AQGS01000604	696	6895	7923	38	0	
EPS35514.1	EPS36545.1	-6	AQGS01000867	695	6857	9454	2	1	
EPS35514.1	EPS36432.1	-5	AQGS01000906	694	6855	7367	2	0	
EPS35514.1	EPS36415.1	-4	AQGS01000908	693	6853	14503	7	0	
EPS35514.1	EPS41344.1	-3	AQGS01000252	692	6846	8210	13	0	
EPS35514.1	EPS44900.1	-2	AQGS01000027	691	6833	9101	14	1	
EPS35514.1	EPS42667.1	-1	AQGS01000105	690	6819	9164	0	1	
EPS35514.1	EPS35514.1	0	AQGS01001127	689	6819	8316	0	0	

Cluster:2
Backbone_gene_id	Gene_id	Gene_positions	Chromosome-Contig	Gene_order	5'end	3'end	Gene_distance	Domain_score	Annotated_gene_function
EPS36910.1	EPS42842.1	-11	AQGS01000096	9273	252397	255916	191	1	
EPS36910.1	EPS35253.1	-10	AQGS01001233	9272	252206	255156	283	1	
EPS36910.1	EPS44941.1	-9	AQGS01000024	9271	251923	254254	66	0	
EPS36910.1	EPS37755.1	-8	AQGS01000612	9270	251857	252852	127	0	
EPS36910.1	EPS43558.1	-7	AQGS01000071	9269	251730	252482	14	0	
EPS36910.1	EPS42151.1	-6	AQGS01000129	9268	251716	253742	200	1	
EPS36910.1	EPS42382.1	-5	AQGS01000114	9267	251516	252154	20	0	
EPS36910.1	EPS42913.1	-4	AQGS01000096	9266	251496	252127	13	0	
EPS36910.1	EPS36113.1	-3	AQGS01000985	9265	251483	252847	17	0	
EPS36910.1	EPS41978.1	-2	AQGS01000130	9264	251466	253031	345	0	
EPS36910.1	EPS45875.1	-1	AQGS01000003	9263	251032	253376	164	1	
EPS36910.1	EPS36910.1	0	AQGS01000814	9262	250868	261830	0	1	
EPS36910.1	EPS38282.1	1	AQGS01000575	9261	250777	252349	91	0	
EPS36910.1	EPS41285.1	2	AQGS01000254	9260	250669	255037	108	1	
EPS36910.1	EPS36191.1	3	AQGS01000958	9259	250639	252476	30	0	
EPS36910.1	EPS35546.1	4	AQGS01001127	9258	250576	252438	38	1	

Cluster:3
Backbone_gene_id	Gene_id	Gene_positions	Chromosome-Contig	Gene_order	5'end	3'end	Gene_distance	Domain_score	Annotated_gene_function
EPS38125.1	EPS35724.1	-7	AQGS01001056	8016	162555	168200	135	1	
EPS38125.1	EPS41481.1	-6	AQGS01000239	8015	162420	163239	15	0	
EPS38125.1	EPS39928.1	-5	AQGS01000443	8014	162405	163547	10	0	
EPS38125.1	EPS45127.1	-4	AQGS01000023	8013	162395	163309	18	0	
EPS38125.1	EPS45287.1	-3	AQGS01000017	8012	162377	163606	9	0	
EPS38125.1	EPS38833.1	-2	AQGS01000526	8011	162368	166660	96	0	
EPS38125.1	EPS37440.1	-1	AQGS01000640	8010	162272	162862	2	0	
EPS38125.1	EPS38125.1	0	AQGS01000576	8009	162270	163796	0	0	

Cluster:4
Backbone_gene_id	Gene_id	Gene_positions	Chromosome-Contig	Gene_order	5'end	3'end	Gene_distance	Domain_score	Annotated_gene_function
EPS38330.1	EPS45364.1	-8	AQGS01000016	9319	257166	259478	66	1	
EPS38330.1	EPS42898.1	-7	AQGS01000096	9318	257100	261225	35	0	
EPS38330.1	EPS35162.1	-6	AQGS01001233	9317	257065	257907	129	0	
EPS38330.1	EPS43101.1	-5	AQGS01000089	9316	256936	258519	79	0	
EPS38330.1	EPS43360.1	-4	AQGS01000079	9315	256857	258011	54	0	
EPS38330.1	EPS43634.1	-3	AQGS01000071	9314	256803	267474	45	0	
EPS38330.1	EPS35568.1	-2	AQGS01001127	9313	256758	257874	39	0	
