Backbone_gene_id	Annotated_gene_function	Chromosome-Contig	Gene_order	5'_end	3'_end	SMURF_backbone_gene_prediction
EPS35452.1		AQGS01001130	397	3544	11214	PKS
EPS35514.1		AQGS01001127	689	6819	8316	PKS-Like
EPS36910.1		AQGS01000814	9262	250868	261830	NRPS
EPS38125.1		AQGS01000576	8009	162270	163796	DMAT
EPS38330.1		AQGS01000575	9311	256605	260102	PKS-Like
EPS39320.1		AQGS01000479	6860	120180	131829	HYBRID
EPS41646.1		AQGS01000226	1595	17643	20007	PKS-Like
EPS42294.1		AQGS01000125	4784	70026	77413	PKS
EPS44867.1		AQGS01000031	2239	26091	37715	NRPS
EPS45949.1		AQGS01000001	5103	76979	82258	NRPS-Like
