Cluster:1
Backbone_gene_id	Gene_id	Gene_positions	Chromosome-Contig	Gene_order	5'end	3'end	Gene_distance	Domain_score	Annotated_gene_function
EGX42977.1	EGX51200.1	-7	ADOT01000088	6047	243929	245115	83	1	
EGX42977.1	EGX43151.1	-6	ADOT01000321	6046	243846	244805	7	0	
EGX42977.1	EGX44046.1	-5	ADOT01000308	6045	243839	245340	75	0	
EGX42977.1	EGX54082.1	-4	ADOT01000005	6044	243764	244267	18	0	
EGX42977.1	EGX46255.1	-3	ADOT01000194	6043	243746	244866	247	0	
EGX42977.1	EGX52798.1	-2	ADOT01000016	6042	243499	246469	8	0	
EGX42977.1	EGX45764.1	-1	ADOT01000227	6041	243491	244287	20	0	
EGX42977.1	EGX42977.1	0	ADOT01000323	6040	243471	251180	0	1	
EGX42977.1	EGX44977.1	1	ADOT01000263	6039	243457	245395	14	0	
EGX42977.1	EGX43918.1	2	ADOT01000310	6038	243447	244092	10	0	
EGX42977.1	EGX46885.1	3	ADOT01000174	6037	243391	247635	56	0	
EGX42977.1	EGX47488.1	4	ADOT01000153	6036	243383	246019	8	0	
EGX42977.1	EGX53129.1	5	ADOT01000015	6035	243319	244457	64	0	
EGX42977.1	EGX50215.1	6	ADOT01000125	6034	243221	244726	98	0	
EGX42977.1	EGX48277.1	7	ADOT01000142	6033	243152	247081	69	1	

Cluster:2
Backbone_gene_id	Gene_id	Gene_positions	Chromosome-Contig	Gene_order	5'end	3'end	Gene_distance	Domain_score	Annotated_gene_function
EGX44199.1	EGX50791.1	-10	ADOT01000093	5011	184474	185703	81	1	
EGX44199.1	EGX51862.1	-9	ADOT01000060	5010	184393	185476	2	0	
EGX44199.1	EGX47042.1	-8	ADOT01000172	5009	184391	185901	32	1	
EGX44199.1	EGX49825.1	-7	ADOT01000131	5008	184359	185082	51	0	
EGX44199.1	EGX47247.1	-6	ADOT01000165	5007	184308	185835	24	0	
EGX44199.1	EGX44954.1	-5	ADOT01000263	5006	184284	187062	10	0	
EGX44199.1	EGX53313.1	-4	ADOT01000012	5005	184274	188262	7	0	
EGX44199.1	EGX52211.1	-3	ADOT01000058	5004	184267	185345	62	0	
EGX44199.1	EGX46739.1	-2	ADOT01000176	5003	184205	190344	98	0	
EGX44199.1	EGX52659.1	-1	ADOT01000017	5002	184107	185793	99	0	
EGX44199.1	EGX44199.1	0	ADOT01000306	5001	184008	187133	0	0	

Cluster:3
Backbone_gene_id	Gene_id	Gene_positions	Chromosome-Contig	Gene_order	5'end	3'end	Gene_distance	Domain_score	Annotated_gene_function
EGX44638.1	EGX44638.1	0	ADOT01000280	9853	658656	661817	0	0	
EGX44638.1	EGX48845.1	1	ADOT01000139	9852	658263	659946	393	1	
EGX44638.1	EGX51994.1	2	ADOT01000060	9851	658028	659054	235	1	
EGX44638.1	EGX51598.1	3	ADOT01000084	9850	657751	658337	277	0	
EGX44638.1	EGX52924.1	4	ADOT01000016	9849	657728	661301	23	0	
EGX44638.1	EGX47749.1	5	ADOT01000151	9848	657507	658339	221	0	
EGX44638.1	EGX49714.1	6	ADOT01000133	9847	656994	660412	513	0	
EGX44638.1	EGX52923.1	7	ADOT01000016	9846	656634	657245	251	0	
EGX44638.1	EGX43460.1	8	ADOT01000316	9845	656484	657997	150	0	
EGX44638.1	EGX44637.1	9	ADOT01000280	9844	655903	657594	403	0	
EGX44638.1	EGX45095.1	10	ADOT01000263	9843	655827	659893	76	1	

Cluster:4
Backbone_gene_id	Gene_id	Gene_positions	Chromosome-Contig	Gene_order	5'end	3'end	Gene_distance	Domain_score	Annotated_gene_function
EGX48857.1	EGX51615.1	-1	ADOT01000084	10097	709067	710483	199	1	
EGX48857.1	EGX48857.1	0	ADOT01000139	10096	708868	716313	0	1	
EGX48857.1	EGX48566.1	1	ADOT01000140	10095	708797	710492	71	1	
EGX48857.1	EGX43477.1	2	ADOT01000316	10094	708745	709782	52	0	
EGX48857.1	EGX54213.1	3	ADOT01000005	10093	708407	711716	338	0	
EGX48857.1	EGX53460.1	4	ADOT01000012	10092	708332	716252	75	1	

Cluster:5
