Backbone_gene_id	Annotated_gene_function	Chromosome-Contig	Gene_order	5'_end	3'_end	SMURF_backbone_gene_prediction
EGX42977.1		ADOT01000323	6040	243471	251180	PKS
EGX43547.1		ADOT01000316	10712	894828	900192	PKS
EGX43679.1		ADOT01000316	11325	1372459	1383343	NRPS
EGX44107.1		ADOT01000307	624	17111	20374	NRPS-Like
EGX44199.1		ADOT01000306	5001	184008	187133	NRPS-Like
EGX44638.1		ADOT01000280	9853	658656	661817	NRPS-Like
EGX48857.1		ADOT01000139	10096	708868	716313	PKS
EGX51809.1		ADOT01000061	7051	314899	322677	PKS
EGX52010.1		ADOT01000059	363	9901	11355	DMAT
EGX52125.1		ADOT01000059	8170	422183	423811	PKS-Like
